,Unnamed: 0.1,Unnamed: 0,Item,Cost,size,Likes,ImgLink,Wear,Category
7,7,7,Nikegolf Tour Performance Dri Fit Mens Blue Golf Shirt Sz XL,22.0,Size: XL,2.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/04/03/642b71cda0aeb7e4b5c6458e/s_642b71dd91e0532563b9d1d3.jpg,,
4,4,4,"Nike Revolution 5 Men's Running Shoes, gray Nike sneakers (Sz 10.5W)",20.0,Size: 10.5W,,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/13/64603fbf3fd8e769b7887089/s_64603fc24bf9ffc6602f19fd.jpeg,,
40,40,40,Nike Dri-Fit Pro Training Sweat Shorts Red Men’s Size L Large 891948-677,19.0,Size: L,3.0,,,
6,6,6,Nike Women's Dri-Fit Pro Training Tank Top Neon Yellow/Green Size Medium,17.0,Size: M,1.0,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/05/6455a09b02760bbb5500d7e2/s_6455a0e791e0530bb041a90d.jpg,,
42,42,42,Nike JDI dri-fit athletic joggers sweatpants,17.0,Size: XS,2.0,,,
9,9,9,Nike Dri-Fit Sweatshirt Nike Dri-Fit Sweatshirt Size M,17.0,Size: M (Girl),,https://di2ponv0v5otw.cloudfront.net/posts/2023/05/21/6469c2a3be296ba68d58b12d/s_6469c2a6ff04842c5a2c288b.jpeg,,
18,18,18,Nike Running Capris length leggings XS,16.0,Size: XS,2.0,,,
25,25,25,𝅺NIKE Youth-leg-a-see Leggings NWT,13.0,Size: M (Girl),,,,
44,44,44,"Nike 5.0 Lightweight, Flexible And A Mesh Upper Running Shoes Girl Size 5Y",12.0,Size: 5Y,1.0,,,
34,34,34,NWOT Nike drawstring bag,11.0,Size: OS,4.0,,,
30,30,30,Nike Pants,10.0,Size: L,8.0,,,
41,41,41,NIKE pink stitching hoodie. Size XL 16 youth,9.0,Size: XL (Girl),1.0,,,
