,Unnamed: 0,Item,Cost,size,Wear,Category
115,68,NIKE AIR MAX 90 SHOES DQ4071-005 BLACK / CHLOROPHYLL GREEN NEW MENS,119.99,,Brand New,Brand New
116,69,Nike Air Jordan 3 Retro Shoes Wizards True Blue White CT8532-148 Men's GS PS TD,129.99,,Brand New,Brand New
117,70,"Nike Air Presto Men’s Sneaker Blue,Red,Triple Black,University Blue size 8-13",65.0,,Brand New,Brand New
118,71,Nike DEFY ALL DAY Men's Black White DJ1196-002 Lace Up Athletic Sneakers Shoes,44.95,,Brand New,Brand New
119,72,Nike Air Max 90 G Golf White Black CU9978-101 New Men's Golf Shoes,89.97,,Brand New,Brand New
120,73,Nike Air Jordan 1 Mid SE Space Jam Black Dark Concord Mens DV1308-004 NEW,149.03,,Brand New,Brand New
121,74,Nike Air Jordan 1 Mid Space Jam Black Blue White DV1308-004 Mens New,163.04,,Brand New,
122,75,Nike Air Max Penny 1 Orlando (2022) - Size 8-13 - **FAST SHIPPING**,219.99,,Brand New,
123,76,Nike Dunk Low Rose Whisper Pink Sizes 5.5-11 Womens DD1503-118 NEW,134.31,,Brand New,
124,77,Nike SB Dunk Low Pro White Gum Light Brown Sizes 9-12 Mens CD2563-101 NEW,170.19,,Brand New,
125,78,Nike Air Jordan 6 Retro Cool Grey Mens & GS CT8529-100 NEW,110.39,,Brand New,
126,79,Nike SB Dunk Low Pro QS Fly Streetwear Gardenia DQ5130-400,189.99,,Brand New,
127,80,Nike Streetgato Coconut White Royal Blue Soccer Shoes DC8466-147 Men's 9-11.5,69.99,,Brand New,
128,81,NIB MEN NIKE DH3162 102 COURT LEGACY NN WHITE/UNIVERSITY RED SHOES SNEAKERS,52.95,,Brand New,
